citric acid,alcohol,volatile acidity,avg_volatile_acidity,Avg_FixedAcidity,Avg_Sulphates,quality
0.02,9.9,0.56,0.53337,8.1888,0.61958,5
0.27,9.3,0.56,0.53337,8.1888,0.61958,5
0.07,10.0,0.745,0.53337,8.1888,0.61958,5
0.21,9.5,0.715,0.53337,8.1888,0.61958,5
0.49,10.4,0.34,0.53337,8.1888,0.61958,5
0.23,9.2,0.39,0.53337,8.1888,0.61958,5
0.41,9.7,0.34,0.53337,8.1888,0.61958,5
0.0,9.7,0.67,0.53337,8.1888,0.61958,5
0.08,13.0,0.68,0.53337,8.1888,0.61958,5
0.19,9.7,0.49,0.53337,8.1888,0.61958,5
0.08,12.6,0.49,0.53337,8.1888,0.61958,5
0.0,9.4,0.4,0.53337,8.1888,0.61958,5
0.65,14.9,0.33,0.53337,8.1888,0.61958,5
0.23,9.4,0.52,0.53337,8.1888,0.61958,5
0.11,9.6,0.6,0.53337,8.1888,0.61958,5
0.2,9.3,0.6,0.53337,8.1888,0.61958,5
0.0,9.3,0.43,0.53337,8.1888,0.61958,5
0.2,10.9,0.43,0.53337,8.1888,0.61958,5
0.0,11.2,0.43,0.53337,8.1888,0.61958,5
0.21,9.5,0.43,0.53337,8.1888,0.61958,5
0.33,11.2,0.68,0.53337,8.1888,0.61958,5
0.2,9.4,0.6,0.53337,8.1888,0.61958,5
0.43,10.1,0.95,0.53337,8.1888,0.61958,5
0.03,9.2,0.68,0.53337,8.1888,0.61958,5
0.29,9.1,0.53,0.53337,8.1888,0.61958,5
0.63,9.5,0.6,0.53337,8.1888,0.61958,5
0.1,9.5,0.59,0.53337,8.1888,0.61958,5
0.1,9.5,0.63,0.53337,8.1888,0.61958,5
0.14,9.8,0.64,0.53337,8.1888,0.61958,5
0.15,10.0,0.55,0.53337,8.1888,0.61958,5
0.36,10.5,0.63,0.53337,8.1888,0.61958,5
0.02,9.3,0.705,0.53337,8.1888,0.61958,5
0.31,9.8,0.885,0.53337,8.1888,0.61958,5
0.52,10.4,0.42,0.53337,8.1888,0.61958,5
0.2,9.3,0.42,0.53337,8.1888,0.61958,5
0.12,9.4,0.62,0.53337,8.1888,0.61958,5
0.0,10.3,0.38,0.53337,8.1888,0.61958,5
0.06,9.5,0.5,0.53337,8.1888,0.61958,5
0.25,10.2,0.38,0.53337,8.1888,0.61958,5
0.3,9.0,0.52,0.53337,8.1888,0.61958,5
0.49,9.1,0.805,0.53337,8.1888,0.61958,5
0.49,9.3,0.61,0.53337,8.1888,0.61958,5
0.04,9.8,0.61,0.53337,8.1888,0.61958,5
0.24,10.0,0.61,0.53337,8.1888,0.61958,5
0.01,9.8,0.73,0.53337,8.1888,0.61958,5
0.5,9.7,0.61,0.53337,8.1888,0.61958,5
0.27,9.4,0.62,0.53337,8.1888,0.61958,5
0.38,9.4,0.31,0.53337,8.1888,0.61958,5
0.01,11.4,0.39,0.53337,8.1888,0.61958,5
0.36,11.8,0.705,0.53337,8.1888,0.61958,5
0.18,9.4,0.5,0.53337,8.1888,0.61958,5
0.14,9.7,0.49,0.53337,8.1888,0.61958,5
0.33,9.0,0.5,0.53337,8.1888,0.61958,5
0.19,9.5,0.37,0.53337,8.1888,0.61958,5
0.26,9.7,0.63,0.53337,8.1888,0.61958,5
0.41,9.3,0.55,0.53337,8.1888,0.61958,5
0.28,9.2,0.55,0.53337,8.1888,0.61958,5
0.24,9.6,0.59,0.53337,8.1888,0.61958,5
0.0,9.9,0.58,0.53337,8.1888,0.61958,5
0.5,8.8,0.3,0.53337,8.1888,0.61958,5
0.49,9.8,0.835,0.53337,8.1888,0.61958,5
0.3,10.5,1.09,0.53337,8.1888,0.61958,5
0.27,11.2,0.32,0.53337,8.1888,0.61958,5
0.04,9.5,0.37,0.53337,8.1888,0.61958,5
0.41,9.5,0.5,0.53337,8.1888,0.61958,5
0.22,9.3,0.42,0.53337,8.1888,0.61958,5
0.0,9.5,0.43,0.53337,8.1888,0.61958,5
0.56,9.4,0.3,0.53337,8.1888,0.61958,5
0.22,9.1,0.3,0.53337,8.1888,0.61958,5
0.19,9.2,0.57,0.53337,8.1888,0.61958,5
0.12,9.8,0.44,0.53337,8.1888,0.61958,5
0.25,9.7,0.3,0.53337,8.1888,0.61958,5
0.4,11.3,0.53,0.53337,8.1888,0.61958,5
0.06,9.4,0.725,0.53337,8.1888,0.61958,5
0.31,9.0,0.44,0.53337,8.1888,0.61958,5
0.05,9.8,0.57,0.53337,8.1888,0.61958,5
0.65,11.0,0.735,0.53337,8.1888,0.61958,5
0.0,10.7,0.49,0.53337,8.1888,0.61958,5
0.33,10.0,0.625,0.53337,8.1888,0.61958,5
0.53,9.2,0.725,0.53337,8.1888,0.61958,5
0.32,10.4,0.49,0.53337,8.1888,0.61958,5
0.01,10.5,0.53,0.53337,8.1888,0.61958,5
0.13,9.4,0.34,0.53337,8.1888,0.61958,5
0.0,9.4,0.53,0.53337,8.1888,0.61958,5
0.26,9.4,0.61,0.53337,8.1888,0.61958,5
0.3,9.5,0.645,0.53337,8.1888,0.61958,5
0.28,10.3,0.635,0.53337,8.1888,0.61958,5
0.54,9.5,0.43,0.53337,8.1888,0.61958,5
0.02,9.8,0.59,0.53337,8.1888,0.61958,5
0.02,10.0,0.82,0.53337,8.1888,0.61958,5
0.23,11.3,0.43,0.53337,8.1888,0.61958,5
0.12,10.1,0.52,0.53337,8.1888,0.61958,5
0.25,10.4,0.48,0.53337,8.1888,0.61958,5
0.64,10.5,0.38,0.53337,8.1888,0.61958,5
0.25,10.6,0.37,0.53337,8.1888,0.61958,5
0.0,9.5,0.52,0.53337,8.1888,0.61958,5
0.03,10.0,1.0,0.53337,8.1888,0.61958,5
0.31,9.3,0.63,0.53337,8.1888,0.61958,5
0.5,10.5,0.63,0.53337,8.1888,0.61958,5
0.03,10.1,0.645,0.53337,8.1888,0.61958,5
0.15,9.4,0.63,0.53337,8.1888,0.61958,5
0.0,9.8,1.0,0.53337,8.1888,0.61958,5
0.03,10.0,0.635,0.53337,8.1888,0.61958,5
0.09,10.0,0.38,0.53337,8.1888,0.61958,5
0.29,9.1,0.58,0.53337,8.1888,0.61958,5
0.1,9.7,0.21,0.53337,8.1888,0.61958,5
0.0,9.2,0.21,0.53337,8.1888,0.61958,5
0.26,9.7,0.66,0.53337,8.1888,0.61958,5
0.03,12.2,0.68,0.53337,8.1888,0.61958,5
0.24,11.5,0.6,0.53337,8.1888,0.61958,5
0.02,9.5,0.53,0.53337,8.1888,0.61958,5
0.1,9.55,0.66,0.53337,8.1888,0.61958,5
0.49,9.7,0.32,0.53337,8.1888,0.61958,5
0.26,9.6,0.6,0.53337,8.1888,0.61958,5
0.31,9.4,0.35,0.53337,8.1888,0.61958,5
0.0,9.5,0.775,0.53337,8.1888,0.61958,5
0.18,9.4,0.6,0.53337,8.1888,0.61958,5
0.05,9.1,0.57,0.53337,8.1888,0.61958,5
0.08,10.0,0.34,0.53337,8.1888,0.61958,5
0.08,9.8,0.695,0.53337,8.1888,0.61958,5
0.3,9.4,0.41,0.53337,8.1888,0.61958,5
0.01,9.6,0.31,0.53337,8.1888,0.61958,5
0.55,10.0,0.33,0.53337,8.1888,0.61958,5
0.23,10.9,0.975,0.53337,8.1888,0.61958,5
0.4,10.5,0.52,0.53337,8.1888,0.61958,5
0.09,9.5,0.37,0.53337,8.1888,0.61958,5
0.14,10.7,0.56,0.53337,8.1888,0.61958,5
0.22,9.2,0.26,0.53337,8.1888,0.61958,5
0.6,9.2,0.87,0.53337,8.1888,0.61958,5
0.04,9.5,0.35,0.53337,8.1888,0.61958,5
0.6,10.6,0.54,0.53337,8.1888,0.61958,5
0.68,11.8,0.18,0.53337,8.1888,0.61958,5
0.0,11.0,0.545,0.53337,8.1888,0.61958,5
0.49,9.2,0.18,0.53337,8.1888,0.61958,5
0.22,11.0,0.37,0.53337,8.1888,0.61958,5
0.0,11.4,0.715,0.53337,8.1888,0.61958,5
0.49,9.2,0.65,0.53337,8.1888,0.61958,5
0.23,9.3,0.545,0.53337,8.1888,0.61958,5
0.42,10.5,0.54,0.53337,8.1888,0.61958,5
0.52,10.2,0.18,0.53337,8.1888,0.61958,5
0.43,11.0,0.32,0.53337,8.1888,0.61958,5
0.0,9.3,0.4,0.53337,8.1888,0.61958,5
0.18,9.8,0.26,0.53337,8.1888,0.61958,5
0.22,9.5,0.27,0.53337,8.1888,0.61958,5
0.21,9.7,0.52,0.53337,8.1888,0.61958,5
0.46,9.5,0.4,0.53337,8.1888,0.61958,5
0.22,9.4,0.59,0.53337,8.1888,0.61958,5
0.4,11.1,0.59,0.53337,8.1888,0.61958,5
0.32,9.9,0.45,0.53337,8.1888,0.61958,5
0.23,9.3,0.4,0.53337,8.1888,0.61958,5
0.28,9.3,0.52,0.53337,8.1888,0.61958,5
0.09,9.0,0.42,0.53337,8.1888,0.61958,5
0.08,11.0,0.52,0.53337,8.1888,0.61958,5
0.15,10.1,0.2,0.53337,8.1888,0.61958,5
0.21,10.5,0.55,0.53337,8.1888,0.61958,5
0.57,10.7,0.36,0.53337,8.1888,0.61958,5
0.52,11.0,0.34,0.53337,8.1888,0.61958,5
0.03,9.7,0.5,0.53337,8.1888,0.61958,5
0.21,9.9,0.83,0.53337,8.1888,0.61958,5
0.54,9.5,0.63,0.53337,8.1888,0.61958,5
0.2,11.7,0.65,0.53337,8.1888,0.61958,5
0.25,9.2,0.67,0.53337,8.1888,0.61958,5
0.34,9.5,0.53,0.53337,8.1888,0.61958,5
0.05,10.0,0.18,0.53337,8.1888,0.61958,5
0.17,9.3,0.705,0.53337,8.1888,0.61958,5
0.49,11.0,0.67,0.53337,8.1888,0.61958,5
0.22,9.5,0.65,0.53337,8.1888,0.61958,5
0.49,9.1,0.53,0.53337,8.1888,0.61958,5
0.2,9.2,0.62,0.53337,8.1888,0.61958,5
0.39,9.2,0.41,0.53337,8.1888,0.61958,5
0.24,9.3,0.43,0.53337,8.1888,0.61958,5
0.6,9.4,0.29,0.53337,8.1888,0.61958,5
0.0,10.9,0.53,0.53337,8.1888,0.61958,5
0.35,9.5,0.53,0.53337,8.1888,0.61958,5
0.47,9.5,0.46,0.53337,8.1888,0.61958,5
0.0,10.3,0.47,0.53337,8.1888,0.61958,5
0.39,9.5,0.36,0.53337,8.1888,0.61958,5
0.44,9.5,0.35,0.53337,8.1888,0.61958,5
0.02,9.5,0.56,0.53337,8.1888,0.61958,5
0.35,9.2,0.77,0.53337,8.1888,0.61958,5
0.05,9.3,0.66,0.53337,8.1888,0.61958,5
0.12,9.4,0.77,0.53337,8.1888,0.61958,5
0.26,9.4,0.66,0.53337,8.1888,0.61958,5
0.44,10.7,0.61,0.53337,8.1888,0.61958,5
0.08,10.5,0.62,0.53337,8.1888,0.61958,5
0.24,9.4,0.59,0.53337,8.1888,0.61958,5
0.39,10.3,0.49,0.53337,8.1888,0.61958,5
0.18,10.0,0.49,0.53337,8.1888,0.61958,5
0.24,9.4,0.53,0.53337,8.1888,0.61958,5
0.03,9.6,0.44,0.53337,8.1888,0.61958,5
0.26,9.3,0.27,0.53337,8.1888,0.61958,5
0.4,9.2,0.46,0.53337,8.1888,0.61958,5
0.04,9.6,0.36,0.53337,8.1888,0.61958,5
0.14,10.4,0.36,0.53337,8.1888,0.61958,5
0.08,9.4,0.58,0.53337,8.1888,0.61958,5
0.39,9.8,0.56,0.53337,8.1888,0.61958,5
0.26,9.5,0.65,0.53337,8.1888,0.61958,5
0.0,9.6,0.695,0.53337,8.1888,0.61958,5
0.0,10.0,0.43,0.53337,8.1888,0.61958,5
0.21,9.5,0.43,0.53337,8.1888,0.61958,5
0.42,11.4,0.49,0.53337,8.1888,0.61958,5
0.08,9.7,0.28,0.53337,8.1888,0.61958,5
0.47,9.1,0.34,0.53337,8.1888,0.61958,5
0.48,10.5,0.42,0.53337,8.1888,0.61958,5
0.65,9.9,0.39,0.53337,8.1888,0.61958,5
0.1,10.5,0.39,0.53337,8.1888,0.61958,5
0.49,9.6,0.57,0.53337,8.1888,0.61958,5
0.17,9.5,0.685,0.53337,8.1888,0.61958,5
0.58,10.0,0.815,0.53337,8.1888,0.61958,5
0.24,9.4,0.49,0.53337,8.1888,0.61958,5
0.1,9.5,0.56,0.53337,8.1888,0.61958,5
0.4,11.1,0.785,0.53337,8.1888,0.61958,5
0.19,10.5,0.67,0.53337,8.1888,0.61958,5
0.58,9.0,0.795,0.53337,8.1888,0.61958,5
0.23,9.5,0.665,0.53337,8.1888,0.61958,5
0.29,11.1,0.53,0.53337,8.1888,0.61958,5
0.51,9.2,0.21,0.53337,8.1888,0.61958,5
0.16,9.3,0.75,0.53337,8.1888,0.61958,5
0.25,11.0,0.41,0.53337,8.1888,0.61958,5
0.44,11.2,0.42,0.53337,8.1888,0.61958,5
0.49,9.4,0.43,0.53337,8.1888,0.61958,5
0.68,9.3,0.38,0.53337,8.1888,0.61958,5
0.18,9.4,0.7,0.53337,8.1888,0.61958,5
0.13,9.8,0.45,0.53337,8.1888,0.61958,5
0.32,9.7,0.58,0.53337,8.1888,0.61958,5
0.34,9.5,0.46,0.53337,8.1888,0.61958,5
0.45,9.4,0.615,0.53337,8.1888,0.61958,5
0.37,10.5,0.42,0.53337,8.1888,0.61958,5
0.0,10.0,0.615,0.53337,8.1888,0.61958,5
0.06,9.8,0.575,0.53337,8.1888,0.61958,5
0.06,9.7,0.34,0.53337,8.1888,0.61958,5
0.7,9.0,0.27,0.53337,8.1888,0.61958,5
0.1,9.2,0.765,0.53337,8.1888,0.61958,5
0.24,9.3,0.24,0.53337,8.1888,0.61958,5
0.07,9.7,0.28,0.53337,8.1888,0.61958,5
0.32,10.1,0.55,0.53337,8.1888,0.61958,5
0.15,9.3,0.41,0.53337,8.1888,0.61958,5
0.22,9.9,0.54,0.53337,8.1888,0.61958,5
0.3,9.4,0.45,0.53337,8.1888,0.61958,5
0.24,10.2,0.27,0.53337,8.1888,0.61958,5
0.25,9.1,0.625,0.53337,8.1888,0.61958,5
0.02,9.7,0.42,0.53337,8.1888,0.61958,5
0.33,10.8,0.26,0.53337,8.1888,0.61958,5
0.22,10.3,0.415,0.53337,8.1888,0.61958,5
0.29,9.4,0.26,0.53337,8.1888,0.61958,5
0.29,9.8,0.26,0.53337,8.1888,0.61958,5
0.38,9.8,0.51,0.53337,8.1888,0.61958,5
0.49,11.1,0.63,0.53337,8.1888,0.61958,5
0.27,11.0,0.54,0.53337,8.1888,0.61958,5
0.0,10.2,0.66,0.53337,8.1888,0.61958,5
0.2,10.0,0.46,0.53337,8.1888,0.61958,5
0.66,10.0,0.38,0.53337,8.1888,0.61958,5
0.15,9.1,0.85,0.53337,8.1888,0.61958,5
0.0,9.9,0.415,0.53337,8.1888,0.61958,5
0.36,9.4,0.37,0.53337,8.1888,0.61958,5
0.2,9.2,0.665,0.53337,8.1888,0.61958,5
0.58,9.0,0.6,0.53337,8.1888,0.61958,5
0.41,9.3,0.37,0.53337,8.1888,0.61958,5
0.52,9.5,0.735,0.53337,8.1888,0.61958,5
0.46,10.5,0.59,0.53337,8.1888,0.61958,5
0.27,9.4,0.59,0.53337,8.1888,0.61958,5
0.21,9.2,0.765,0.53337,8.1888,0.61958,5
0.02,11.0,0.735,0.53337,8.1888,0.61958,5
0.21,9.9,0.26,0.53337,8.1888,0.61958,5
0.05,10.0,0.48,0.53337,8.1888,0.61958,5
0.21,9.2,0.6,0.53337,8.1888,0.61958,5
0.33,9.3,0.69,0.53337,8.1888,0.61958,5
0.12,10.2,0.31,0.53337,8.1888,0.61958,5
0.02,9.9,0.44,0.53337,8.1888,0.61958,5
0.04,9.6,0.39,0.53337,8.1888,0.61958,5
0.15,9.6,0.34,0.53337,8.1888,0.61958,5
0.08,9.0,0.46,0.53337,8.1888,0.61958,5
0.03,9.8,0.43,0.53337,8.1888,0.61958,5
0.18,9.3,0.45,0.53337,8.1888,0.61958,5
0.29,9.5,0.735,0.53337,8.1888,0.61958,5
0.33,9.5,0.4,0.53337,8.1888,0.61958,5
0.26,9.9,0.52,0.53337,8.1888,0.61958,5
0.12,9.1,0.725,0.53337,8.1888,0.61958,5
0.3,10.2,0.48,0.53337,8.1888,0.61958,5
0.16,11.0,0.58,0.53337,8.1888,0.61958,5
0.11,9.4,0.38,0.53337,8.1888,0.61958,5
0.0,9.3,0.77,0.53337,8.1888,0.61958,5
0.6,10.5,0.56,0.53337,8.1888,0.61958,5
0.15,9.5,0.84,0.53337,8.1888,0.61958,5
0.29,9.8,0.96,0.53337,8.1888,0.61958,5
0.1,12.1,0.24,0.53337,8.1888,0.61958,5
0.17,9.5,0.96,0.53337,8.1888,0.61958,5
0.34,9.5,0.84,0.53337,8.1888,0.61958,5
0.08,9.4,0.67,0.53337,8.1888,0.61958,5
0.0,9.4,0.78,0.53337,8.1888,0.61958,5
0.22,9.2,0.52,0.53337,8.1888,0.61958,5
0.09,9.8,0.84,0.53337,8.1888,0.61958,5
0.26,10.0,0.24,0.53337,8.1888,0.61958,5
0.23,9.3,0.55,0.53337,8.1888,0.61958,5
0.06,9.8,0.37,0.53337,8.1888,0.61958,5
0.15,9.9,0.39,0.53337,8.1888,0.61958,5
0.49,9.5,0.41,0.53337,8.1888,0.61958,5
0.57,9.6,0.39,0.53337,8.1888,0.61958,5
0.1,9.7,0.67,0.53337,8.1888,0.61958,5
0.24,10.1,0.45,0.53337,8.1888,0.61958,5
0.05,10.1,0.41,0.53337,8.1888,0.61958,5
0.49,10.5,0.62,0.53337,8.1888,0.61958,5
0.04,10.0,0.31,0.53337,8.1888,0.61958,5
0.43,11.4,0.4,0.53337,8.1888,0.61958,5
0.0,10.2,0.685,0.53337,8.1888,0.61958,5
0.12,9.2,0.44,0.53337,8.1888,0.61958,5
0.16,9.3,0.57,0.53337,8.1888,0.61958,5
0.03,10.3,0.735,0.53337,8.1888,0.61958,5
0.18,9.9,0.38,0.53337,8.1888,0.61958,5
0.28,12.8,0.48,0.53337,8.1888,0.61958,5
0.04,9.8,0.53,0.53337,8.1888,0.61958,5
0.09,13.0,0.39,0.53337,8.1888,0.61958,5
0.09,9.6,0.39,0.53337,8.1888,0.61958,5
0.25,9.2,0.37,0.53337,8.1888,0.61958,5
0.21,9.5,0.56,0.53337,8.1888,0.61958,5
0.13,9.2,0.33,0.53337,8.1888,0.61958,5
0.0,9.7,0.23,0.53337,8.1888,0.61958,5
0.14,9.8,0.62,0.53337,8.1888,0.61958,5
0.29,10.0,0.59,0.53337,8.1888,0.61958,5
0.32,9.5,0.63,0.53337,8.1888,0.61958,5
0.0,9.5,0.33,0.53337,8.1888,0.61958,5
0.24,10.0,0.58,0.53337,8.1888,0.61958,5
0.1,10.0,0.43,0.53337,8.1888,0.61958,5
0.23,9.3,0.615,0.53337,8.1888,0.61958,5
0.5,10.4,0.26,0.53337,8.1888,0.61958,5
0.11,9.3,0.66,0.53337,8.1888,0.61958,5
0.0,11.0,0.315,0.53337,8.1888,0.61958,5
0.14,9.8,0.29,0.53337,8.1888,0.61958,5
0.43,10.8,0.5,0.53337,8.1888,0.61958,5
0.29,9.1,0.46,0.53337,8.1888,0.61958,5
0.0,9.3,0.36,0.53337,8.1888,0.61958,5
0.35,10.8,0.82,0.53337,8.1888,0.61958,5
0.3,9.4,0.32,0.53337,8.1888,0.61958,5
0.17,9.4,0.54,0.53337,8.1888,0.61958,5
0.11,9.7,0.37,0.53337,8.1888,0.61958,5
0.38,9.8,0.35,0.53337,8.1888,0.61958,5
0.02,10.2,0.28,0.53337,8.1888,0.61958,5
0.07,10.1,0.68,0.53337,8.1888,0.61958,5
0.36,9.4,0.27,0.53337,8.1888,0.61958,5
0.48,9.3,0.24,0.53337,8.1888,0.61958,5
0.09,10.5,0.68,0.53337,8.1888,0.61958,5
